"cod_reg","cod_prov","pro_com","comune","ar_kmq","ar_id_p3","ar_id_p2","ar_id_p1","aridp3_p","aridp2_p","aridp1_p","pop_res011","pop_gio","pop_gio_p","pop_adu","pop_adu_p","pop_anz","pop_anz_p","pop_idr_p3","pop_idr_p2","pop_idr_p1","popidp3_p","popidp2_p","popidp1_p","fam_tot","fam_idr_p3","fam_idr_p2","fam_idr_p1","famidp3_p","famidp2_p","famidp1_p","ed_tot","ed_idr_p3","ed_idr_p2","ed_idr_p1","edidp3_p","edidp2_p","edidp1_p","im_tot","im_idr_p3","im_idr_p2","im_idr_p1","imidp3_p","imidp2_p","imidp1_p","n_vir","bbcc_id_p3","bbcc_id_p2","bbcc_id_p1","bbccidp3_p","bbccidp2_p","bbccidp1_p","ar_fr_p4","ar_fr_p3","ar_fr_p2","ar_fr_p1","ar_fr_aa","ar_fr_p3p4","ar_frp4_p","ar_frp3_p","ar_frp2_p","ar_frp1_p","ar_fraa_p","ar_frp3p4p","pop_fr_p4","pop_fr_p3","pop_fr_p2","pop_fr_p1","pop_fr_aa","popfr_p3p4","popfrp4_p","popfrp3_p","popfrp2_p","popfrp1_p","popfraa_p","popfrp3p4p","fam_fr_p4","fam_fr_p3","fam_fr_p2","fam_fr_p1","fam_fr_aa","famfr_p3p4","famfrp4_p","famfrp3_p","famfrp2_p","famfrp1_p","famfraa_p","famfrp3p4p","ed_fr_p4","ed_fr_p3","ed_fr_p2","ed_fr_p1","ed_fr_aa","ed_fr_p3p4","edfrp4_p","edfrp3_p","edfrp2_p","edfrp1_p","edfraa_p","edfrp3p4p","im_fr_p4","im_fr_p3","im_fr_p2","im_fr_p1","im_fr_aa","imfr_p3p4","imfrp4_p","imfrp3_p","imfrp2_p","imfrp1_p","imfraa_p","imfrp3p4p","bbcc_fr_p4","bbcc_fr_p3","bbcc_fr_p2","bbcc_fr_p1","bbcc_fr_aa","bbccfrp3p4","bbccfrp4_p","bbccfrp3_p","bbccfrp2_p","bbccfrp1_p","bbccfraa_p","bbccfrp34p"
18,78,78122,"San Lucido",27.118,2.81,2.844,3.002,10.362,10.487,11.07,5940,786,13.232,3969,66.818,1185,19.949,672,696,791,11.313,11.717,13.316,2419,275,286,327,11.368,11.823,13.518,2626,357,387,460,13.595,14.737,17.517,374,31,32,38,8.289,8.556,10.16,28,3,3,7,10.714,10.714,25,0.518,1.13,9.029,0,0,1.648,1.91,4.167,33.295,0,0,6.077,63,493,4645,0,0,556,1.061,8.3,78.199,0,0,9.36,23,187,1918,0,0,210,0.951,7.73,79.289,0,0,8.681,19,160,2122,0,0,179,0.724,6.093,80.807,0,0,6.816,2,11,320,0,0,13,0.535,2.941,85.561,0,0,3.476,0,0,28,0,0,0,0,0,100,0,0,0
14,70,70044,"Montelongo",12.763,0,0.51,0.51,0,3.996,3.996,384,36,9.375,230,59.896,118,30.729,0,1,1,0,0.26,0.26,189,0,0,0,0,0,0,351,0,2,2,0,0.57,0.57,23,0,0,0,0,0,0,15,0,0,0,0,0,0,0.275,1.107,0,0.27,0,1.382,2.155,8.674,0,2.115,0,10.828,2,2,0,2,0,4,0.521,0.521,0,0.521,0,1.042,1,1,0,1,0,2,0.529,0.529,0,0.529,0,1.058,3,5,0,3,0,8,0.855,1.425,0,0.855,0,2.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,70,70061,"Rotello",70.74,1.016,2.921,3.364,1.436,4.129,4.755,1219,146,11.977,798,65.463,275,22.559,1,4,4,0.082,0.328,0.328,525,1,1,2,0.19,0.19,0.381,695,1,2,3,0.144,0.288,0.432,64,0,0,0,0,0,0,28,0,0,0,0,0,0,1.807,6.98,0,9.006,0,8.787,2.554,9.867,0,12.731,0,12.422,3,20,0,37,0,23,0.246,1.641,0,3.035,0,1.887,1,7,0,15,0,8,0.19,1.333,0,2.857,0,1.524,1,10,0,30,0,11,0.144,1.439,0,4.317,0,1.583,0,1,0,2,0,1,0,1.563,0,3.125,0,1.563,0,1,0,0,0,1,0,3.571,0,0,0,3.571
14,70,70062,"Salcito",28.259,0.492,1.569,1.636,1.741,5.552,5.789,695,74,10.647,438,63.022,183,26.331,1,9,9,0.144,1.295,1.295,303,0,3,3,0,0.99,0.99,908,1,7,8,0.11,0.771,0.881,42,0,1,1,0,2.381,2.381,23,0,0,0,0,0,0,1.17,1.821,0,2.726,0,2.991,4.14,6.444,0,9.646,0,10.584,12,31,0,26,0,43,1.727,4.46,0,3.741,0,6.187,4,12,0,9,0,16,1.32,3.96,0,2.97,0,5.281,8,30,0,23,0,38,0.881,3.304,0,2.533,0,4.185,1,2,0,2,0,3,2.381,4.762,0,4.762,0,7.143,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24050,"Lastebasse",18.797,0.111,0.3,0.3,0.591,1.596,1.596,229,35,15.284,118,51.528,76,33.188,0,3,3,0,1.31,1.31,111,0,1,1,0,0.901,0.901,213,0,2,2,0,0.939,0.939,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.244,0.134,0.023,0.024,0.244,0,1.298,0.713,0.122,0.128,1.298,0,10,101,0,2,10,0,4.367,44.105,0,0.873,4.367,0,5,50,0,1,5,0,4.505,45.045,0,0.901,4.505,0,10,76,0,1,10,0,4.695,35.681,0,0.469,4.695,0,0,4,0,0,0,0,0,30.769,0,0,0,0,0,1,0,0,0,0,0,33.333,0,0,0
3,18,18142,"Santa Margherita di Staffora",36.901,0.659,0.813,0.86,1.786,2.203,2.331,513,34,6.628,260,50.682,219,42.69,0,0,9,0,0,1.754,306,0,0,4,0,0,1.307,797,0,0,14,0,0,1.757,39,0,0,0,0,0,0,4,0,0,0,0,0,0,1.949,2.799,1.489,0,0,4.748,5.282,7.585,4.035,0,0,12.867,18,34,4,0,0,52,3.509,6.628,0.78,0,0,10.136,10,20,1,0,0,30,3.268,6.536,0.327,0,0,9.804,24,56,11,0,0,80,3.011,7.026,1.38,0,0,10.038,1,2,0,0,0,3,2.564,5.128,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24014,"Breganze",21.761,0,0,0.095,0,0,0.437,8693,1292,14.863,5698,65.547,1703,19.59,0,0,5,0,0,0.058,3255,0,0,2,0,0,0.061,2145,0,0,1,0,0,0.047,621,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24057,"Marostica",36.529,0,0.251,0.251,0,0.687,0.687,13783,2033,14.75,8977,65.131,2773,20.119,0,119,119,0,0.863,0.863,5529,0,44,44,0,0.796,0.796,3755,0,30,30,0,0.799,0.799,1324,0,12,12,0,0.906,0.906,46,0,0,0,0,0,0,0,0.006,0.006,0,0.327,0.006,0,0.016,0.016,0,0.895,0.016,0,1,0,0,42,1,0,0.007,0,0,0.305,0.007,0,0,0,0,16,0,0,0,0,0,0.289,0,0,0,0,0,17,0,0,0,0,0,0.453,0,0,0,0,0,3,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24060,"Montebello Vicentino",21.475,1.845,1.962,3.698,8.591,9.136,17.22,6531,989,15.143,4402,67.402,1140,17.455,222,227,344,3.399,3.476,5.267,2469,84,86,129,3.402,3.483,5.225,1524,48,50,80,3.15,3.281,5.249,603,15,15,21,2.488,2.488,3.483,32,0,0,1,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24061,"Montecchio Maggiore",30.54,0,0.124,0.187,0,0.406,0.612,23315,3628,15.561,15442,66.232,4245,18.207,0,191,195,0,0.819,0.836,9048,0,77,79,0,0.851,0.873,6015,0,64,66,0,1.064,1.097,1964,0,8,8,0,0.407,0.407,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
