"cod_reg","cod_prov","pro_com","comune","ar_kmq","ar_id_p3","ar_id_p2","ar_id_p1","aridp3_p","aridp2_p","aridp1_p","pop_res011","pop_gio","pop_gio_p","pop_adu","pop_adu_p","pop_anz","pop_anz_p","pop_idr_p3","pop_idr_p2","pop_idr_p1","popidp3_p","popidp2_p","popidp1_p","fam_tot","fam_idr_p3","fam_idr_p2","fam_idr_p1","famidp3_p","famidp2_p","famidp1_p","ed_tot","ed_idr_p3","ed_idr_p2","ed_idr_p1","edidp3_p","edidp2_p","edidp1_p","im_tot","im_idr_p3","im_idr_p2","im_idr_p1","imidp3_p","imidp2_p","imidp1_p","n_vir","bbcc_id_p3","bbcc_id_p2","bbcc_id_p1","bbccidp3_p","bbccidp2_p","bbccidp1_p","ar_fr_p4","ar_fr_p3","ar_fr_p2","ar_fr_p1","ar_fr_aa","ar_fr_p3p4","ar_frp4_p","ar_frp3_p","ar_frp2_p","ar_frp1_p","ar_fraa_p","ar_frp3p4p","pop_fr_p4","pop_fr_p3","pop_fr_p2","pop_fr_p1","pop_fr_aa","popfr_p3p4","popfrp4_p","popfrp3_p","popfrp2_p","popfrp1_p","popfraa_p","popfrp3p4p","fam_fr_p4","fam_fr_p3","fam_fr_p2","fam_fr_p1","fam_fr_aa","famfr_p3p4","famfrp4_p","famfrp3_p","famfrp2_p","famfrp1_p","famfraa_p","famfrp3p4p","ed_fr_p4","ed_fr_p3","ed_fr_p2","ed_fr_p1","ed_fr_aa","ed_fr_p3p4","edfrp4_p","edfrp3_p","edfrp2_p","edfrp1_p","edfraa_p","edfrp3p4p","im_fr_p4","im_fr_p3","im_fr_p2","im_fr_p1","im_fr_aa","imfr_p3p4","imfrp4_p","imfrp3_p","imfrp2_p","imfrp1_p","imfraa_p","imfrp3p4p","bbcc_fr_p4","bbcc_fr_p3","bbcc_fr_p2","bbcc_fr_p1","bbcc_fr_aa","bbccfrp3p4","bbccfrp4_p","bbccfrp3_p","bbccfrp2_p","bbccfrp1_p","bbccfraa_p","bbccfrp34p"
1,1,1077,"Chiaverano",12.022,0.171,0.859,1.498,1.422,7.145,12.46,2106,264,12.536,1263,59.972,579,27.493,83,442,510,3.941,20.988,24.217,907,35,189,219,3.859,20.838,24.146,844,35,181,208,4.147,21.445,24.645,140,4,27,34,2.857,19.286,24.286,6,0,0,0,0,0,0,0.361,0.773,0.096,0,0,1.134,3.003,6.43,0.799,0,0,9.433,85,298,2,0,0,383,4.036,14.15,0.095,0,0,18.186,36,126,1,0,0,162,3.969,13.892,0.11,0,0,17.861,35,121,1,0,0,156,4.147,14.336,0.118,0,0,18.483,5,19,0,0,0,24,3.571,13.571,0,0,0,17.143,0,0,0,0,0,0,0,0,0,0,0,0
18,101,101005,"Castelsilano",40.063,8.062,8.062,8.062,20.123,20.123,20.123,1034,91,8.801,674,65.184,269,26.015,36,36,36,3.482,3.482,3.482,484,18,18,18,3.719,3.719,3.719,691,24,24,24,3.473,3.473,3.473,41,1,1,1,2.439,2.439,2.439,3,1,1,1,33.333,33.333,33.333,0.151,0.098,0.073,0,0,0.249,0.377,0.245,0.182,0,0,0.622,0,10,28,0,0,10,0,0.967,2.708,0,0,0.967,0,5,14,0,0,5,0,1.033,2.893,0,0,1.033,0,8,20,0,0,8,0,1.158,2.894,0,0,1.158,0,1,0,0,0,1,0,2.439,0,0,0,2.439,0,0,0,0,0,0,0,0,0,0,0,0
1,96,96071,"Valdengo",7.677,0.161,0.319,0.842,2.097,4.155,10.968,2532,288,11.374,1624,64.139,620,24.487,28,93,357,1.106,3.673,14.1,1085,13,41,156,1.198,3.779,14.378,851,7,30,124,0.823,3.525,14.571,207,4,13,47,1.932,6.28,22.705,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,101,101010,"Crotone",181.995,55.546,60.22,62.157,30.521,33.089,34.153,58881,9712,16.494,39908,67.777,9261,15.728,13837,18731,21545,23.5,31.812,36.591,21474,4836,6613,7606,22.52,30.795,35.42,7793,1710,2334,2593,21.943,29.95,33.273,3769,550,1017,1162,14.593,26.983,30.83,52,3,4,11,5.769,7.692,21.154,0.284,0.93,1.441,0,15.147,1.214,0.156,0.511,0.792,0,8.323,0.667,77,386,123,0,1692,463,0.131,0.656,0.209,0,2.874,0.786,29,139,38,0,600,168,0.135,0.647,0.177,0,2.794,0.782,29,127,30,0,318,156,0.372,1.63,0.385,0,4.081,2.002,2,14,3,0,35,16,0.053,0.371,0.08,0,0.929,0.425,0,0,0,0,0,0,0,0,0,0,0,0
19,83,83021,"Fiumedinisi",36.694,0.241,0.246,0.256,0.657,0.67,0.698,1559,225,14.432,988,63.374,346,22.194,202,215,225,12.957,13.791,14.432,711,94,100,104,13.221,14.065,14.627,1300,179,187,193,13.769,14.385,14.846,80,12,13,14,15,16.25,17.5,16,5,5,5,31.25,31.25,31.25,2.625,0.434,0.833,0.273,0.055,3.059,7.154,1.183,2.27,0.744,0.15,8.337,113,3,11,11,1,116,7.248,0.192,0.706,0.706,0.064,7.441,51,1,5,5,1,52,7.173,0.141,0.703,0.703,0.141,7.314,92,3,9,22,1,95,7.077,0.231,0.692,1.692,0.077,7.308,5,0,0,1,0,5,6.25,0,0,1.25,0,6.25,1,0,0,0,0,1,6.25,0,0,0,0,6.25
1,1,1079,"Chiesanuova",4.119,0,0,0,0,0,0,203,21,10.345,121,59.606,61,30.049,0,0,0,0,0,0,119,0,0,0,0,0,0,219,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.263,0,0,0,0,0.263,6.385,0,0,0,0,6.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1089,"Coazze",56.573,0.676,0.785,0.817,1.195,1.388,1.444,3084,394,12.776,2038,66.083,652,21.141,30,97,109,0.973,3.145,3.534,1482,14,47,52,0.945,3.171,3.509,1892,21,55,59,1.11,2.907,3.118,199,1,6,6,0.503,3.015,3.015,6,0,1,1,0,16.667,16.667,1.107,2.327,0.74,0,0,3.434,1.957,4.113,1.308,0,0,6.07,16,1,1,0,0,17,0.519,0.032,0.032,0,0,0.551,9,1,0,0,0,10,0.607,0.067,0,0,0,0.675,23,3,2,0,0,26,1.216,0.159,0.106,0,0,1.374,1,0,0,0,0,1,0.503,0,0,0,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1007,"Alpette",5.626,0.047,0.069,0.069,0.835,1.226,1.226,277,22,7.942,169,61.011,86,31.047,0,0,0,0,0,0,166,0,0,0,0,0,0,616,1,1,1,0.162,0.162,0.162,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0.131,2.328,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.325,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1039,"Brusasco",14.359,3.447,4.46,4.688,24.006,31.061,32.649,1726,232,13.441,1075,62.283,419,24.276,46,70,87,2.665,4.056,5.041,733,20,31,39,2.729,4.229,5.321,677,17,27,34,2.511,3.988,5.022,97,4,6,7,4.124,6.186,7.216,8,0,1,2,0,12.5,25,1.079,0.928,0,0,0,2.007,7.514,6.463,0,0,0,13.977,20,32,0,0,0,52,1.159,1.854,0,0,0,3.013,8,14,0,0,0,22,1.091,1.91,0,0,0,3.001,9,13,0,0,0,22,1.329,1.92,0,0,0,3.25,1,2,0,0,0,3,1.031,2.062,0,0,0,3.093,0,1,0,0,0,1,0,12.5,0,0,0,12.5
1,1,1006,"Almese",17.876,0,1.266,3.343,0,7.082,18.701,6303,876,13.898,4109,65.191,1318,20.911,0,649,2395,0,10.297,37.998,2780,0,289,1069,0,10.396,38.453,2196,0,214,757,0,9.745,34.472,546,0,77,284,0,14.103,52.015,13,0,1,2,0,7.692,15.385,0,1.18,0.827,0,0,1.18,0,6.601,4.626,0,0,6.601,0,1353,871,0,0,1353,0,21.466,13.819,0,0,21.466,0,601,395,0,0,601,0,21.619,14.209,0,0,21.619,0,424,266,0,0,424,0,19.308,12.113,0,0,19.308,0,154,96,0,0,154,0,28.205,17.582,0,0,28.205,0,4,5,0,0,4,0,30.769,38.462,0,0,30.769
3,13,13137,"Lurago Marinone",3.885,0,0,0.002,0,0,0.051,2456,366,14.902,1693,68.933,397,16.164,0,0,0,0,0,0,988,0,0,0,0,0,0,670,0,0,0,0,0,0,179,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1083,"Ciconio",3.164,0.032,1.3,1.301,1.011,41.087,41.119,371,56,15.094,236,63.612,79,21.294,0,175,175,0,47.17,47.17,150,0,73,73,0,48.667,48.667,189,0,90,90,0,47.619,47.619,20,0,9,9,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1087,"Claviere",2.687,0.059,0.116,0.124,2.196,4.317,4.615,192,31,16.146,133,69.271,28,14.583,13,53,59,6.771,27.604,30.729,86,6,24,26,6.977,27.907,30.233,115,8,31,35,6.957,26.957,30.435,40,3,10,12,7.5,25,30,4,0,0,0,0,0,0,0.1,0.062,0,0,0,0.162,3.722,2.307,0,0,0,6.029,2,43,0,0,0,45,1.042,22.396,0,0,0,23.438,1,19,0,0,0,20,1.163,22.093,0,0,0,23.256,1,26,0,0,0,27,0.87,22.609,0,0,0,23.478,0,9,0,0,0,9,0,22.5,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1022,"Bardonecchia",132.203,0.199,2.662,3.206,0.151,2.014,2.425,3212,419,13.045,2088,65.006,705,21.949,2,1802,2516,0.062,56.102,78.331,1686,1,952,1334,0.059,56.465,79.122,1631,5,743,1028,0.307,45.555,63.029,388,0,243,322,0,62.629,82.99,23,0,11,15,0,47.826,65.217,16.223,38.288,0.003,0,0,54.511,12.271,28.962,0.002,0,0,41.233,454,2244,0,0,0,2698,14.134,69.863,0,0,0,83.998,243,1174,0,0,0,1417,14.413,69.632,0,0,0,84.045,283,991,0,0,0,1274,17.351,60.76,0,0,0,78.112,32,304,0,0,0,336,8.247,78.351,0,0,0,86.598,7,14,0,0,0,21,30.435,60.87,0,0,0,91.304
1,1,1062,"Caselette",14.314,0.758,1.289,1.679,5.296,9.005,11.73,2931,436,14.875,1872,63.869,623,21.256,4,7,9,0.136,0.239,0.307,1178,1,3,3,0.085,0.255,0.255,739,2,3,4,0.271,0.406,0.541,238,2,3,4,0.84,1.261,1.681,12,0,0,0,0,0,0,0.023,0,0,0,0,0.023,0.161,0,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1082,"Chivasso",51.238,7.424,16.091,22.896,14.489,31.404,44.686,25914,3412,13.167,17010,65.64,5492,21.193,72,486,5991,0.278,1.875,23.119,11343,30,207,2718,0.264,1.825,23.962,4887,16,198,1118,0.327,4.052,22.877,1953,13,43,421,0.666,2.202,21.557,23,1,1,5,4.348,4.348,21.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1011,"Angrogna",38.878,0.075,0.206,0.223,0.193,0.53,0.574,870,110,12.644,549,63.103,211,24.253,2,9,9,0.23,1.034,1.034,428,1,4,4,0.234,0.935,0.935,1080,3,12,12,0.278,1.111,1.111,42,0,0,0,0,0,0,27,0,0,0,0,0,0,1.169,2.366,0.19,0,0,3.535,3.007,6.086,0.489,0,0,9.093,14,4,1,0,0,18,1.609,0.46,0.115,0,0,2.069,7,3,1,0,0,10,1.636,0.701,0.234,0,0,2.336,20,15,4,0,0,35,1.852,1.389,0.37,0,0,3.241,1,0,0,0,0,1,2.381,0,0,0,0,2.381,0,1,0,0,0,1,0,3.704,0,0,0,3.704
19,83,83017,"Cesarò",216.93,1.582,1.582,1.582,0.729,0.729,0.729,2572,343,13.336,1643,63.88,586,22.784,1,1,1,0.039,0.039,0.039,1136,1,1,1,0.088,0.088,0.088,1529,1,1,1,0.065,0.065,0.065,135,0,0,0,0,0,0,17,0,0,0,0,0,0,0.039,0.545,1.976,1.631,0.315,0.584,0.018,0.251,0.911,0.752,0.145,0.269,13,49,71,24,0,62,0.505,1.905,2.76,0.933,0,2.411,6,21,34,9,0,27,0.528,1.849,2.993,0.792,0,2.377,12,15,49,6,0,27,0.785,0.981,3.205,0.392,0,1.766,0,1,4,2,0,1,0,0.741,2.963,1.481,0,0.741,0,3,0,0,0,3,0,17.647,0,0,0,17.647
19,83,83025,"Francavilla di Sicilia",82.726,0.308,0.308,0.308,0.372,0.372,0.372,3901,443,11.356,2487,63.753,971,24.891,1,1,1,0.026,0.026,0.026,1852,0,0,0,0,0,0,1875,0,0,0,0,0,0,266,0,0,0,0,0,0,24,0,0,0,0,0,0,0.065,0.363,3.655,0.469,0.066,0.428,0.079,0.439,4.418,0.567,0.08,0.517,56,0,0,0,0,56,1.436,0,0,0,0,1.436,27,0,0,0,0,27,1.458,0,0,0,0,1.458,26,0,0,0,0,26,1.387,0,0,0,0,1.387,1,0,0,0,0,1,0.376,0,0,0,0,0.376,0,0,5,0,0,0,0,0,20.833,0,0,0
19,83,83001,"Alcara li Fusi",62.935,0,0,0,0,0,0,2072,195,9.411,1253,60.473,624,30.116,0,0,0,0,0,0,981,0,0,0,0,0,0,1571,0,0,0,0,0,0,92,0,0,0,0,0,0,6,0,0,0,0,0,0,6.471,3.514,8.144,3.692,1.76,9.985,10.282,5.584,12.94,5.866,2.797,15.866,746,7,42,26,59,753,36.004,0.338,2.027,1.255,2.847,36.342,359,4,20,12,26,363,36.595,0.408,2.039,1.223,2.65,37.003,536,29,50,24,33,565,34.118,1.846,3.183,1.528,2.101,35.964,27,0,3,2,3,27,29.348,0,3.261,2.174,3.261,29.348,1,0,0,1,0,1,16.667,0,0,16.667,0,16.667
1,1,1008,"Alpignano",11.919,0.928,1.469,2.188,7.786,12.325,18.357,16893,2074,12.277,11180,66.181,3639,21.541,155,290,410,0.918,1.717,2.427,7329,66,124,178,0.901,1.692,2.429,2325,23,52,74,0.989,2.237,3.183,1244,16,32,49,1.286,2.572,3.939,9,1,1,1,11.111,11.111,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1009,"Andezeno",7.486,0.981,2.646,2.646,13.104,35.346,35.346,1966,286,14.547,1271,64.649,409,20.804,176,459,459,8.952,23.347,23.347,796,72,188,188,9.045,23.618,23.618,635,60,163,163,9.449,25.669,25.669,236,23,70,70,9.746,29.661,29.661,3,0,0,0,0,0,0,0.281,0,0,0,0,0.281,3.754,0,0,0,0,3.754,32,0,0,0,0,32,1.628,0,0,0,0,1.628,13,0,0,0,0,13,1.633,0,0,0,0,1.633,9,0,0,0,0,9,1.417,0,0,0,0,1.417,5,0,0,0,0,5,2.119,0,0,0,0,2.119,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1167,"Nomaglio",3.074,0,0,0,0,0,0,312,32,10.256,193,61.859,87,27.885,0,0,0,0,0,0,167,0,0,0,0,0,0,273,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.013,0.423,0,0,0,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1183,"Pecetto Torinese",9.173,0.131,0.131,0.132,1.428,1.428,1.439,3877,556,14.341,2411,62.187,910,23.472,92,92,92,2.373,2.373,2.373,1635,39,39,39,2.385,2.385,2.385,1057,28,28,28,2.649,2.649,2.649,286,5,5,5,1.748,1.748,1.748,14,0,0,0,0,0,0,0.02,0.178,0.033,0,0,0.198,0.218,1.94,0.36,0,0,2.159,3,50,35,0,0,53,0.077,1.29,0.903,0,0,1.367,1,22,15,0,0,23,0.061,1.346,0.917,0,0,1.407,1,12,10,0,0,13,0.095,1.135,0.946,0,0,1.23,0,5,4,0,0,5,0,1.748,1.399,0,0,1.748,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1184,"Perosa Argentina",26.091,0.542,0.642,2.093,2.077,2.461,8.022,3405,358,10.514,2030,59.618,1017,29.868,109,210,2096,3.201,6.167,61.557,1690,55,104,1033,3.254,6.154,61.124,1309,33,64,644,2.521,4.889,49.198,232,9,13,125,3.879,5.603,53.879,5,0,0,2,0,0,40,0.99,0,0.005,0,0,0.99,3.794,0,0.019,0,0,3.794,238,0,0,0,0,238,6.99,0,0,0,0,6.99,116,0,0,0,0,116,6.864,0,0,0,0,6.864,53,0,0,0,0,53,4.049,0,0,0,0,4.049,14,0,0,0,0,14,6.034,0,0,0,0,6.034,1,0,0,0,0,1,20,0,0,0,0,20
1,1,1020,"Banchette",2.029,0.664,0.785,1.804,32.725,38.689,88.911,3280,408,12.439,2048,62.439,824,25.122,2,16,2678,0.061,0.488,81.646,1595,1,7,1291,0.063,0.439,80.94,386,1,4,318,0.259,1.036,82.383,208,0,2,169,0,0.962,81.25,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1208,"Quagliuzzo",2.038,0.208,0.342,0.344,10.206,16.781,16.879,331,30,9.063,218,65.861,83,25.076,1,2,2,0.302,0.604,0.604,163,0,1,1,0,0.613,0.613,209,1,2,2,0.478,0.957,0.957,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0.049,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1043,"Busano",5.059,0.476,0.974,1.083,9.409,19.253,21.407,1588,260,16.373,1052,66.247,276,17.38,34,68,98,2.141,4.282,6.171,655,14,27,39,2.137,4.122,5.954,485,9,23,32,1.856,4.742,6.598,143,5,10,14,3.497,6.993,9.79,4,2,2,2,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1027,"Bollengo",14.223,0.001,0.001,3.748,0.007,0.007,26.352,2112,235,11.127,1341,63.494,536,25.379,0,0,112,0,0,5.303,955,0,0,52,0,0,5.445,795,0,0,40,0,0,5.031,192,0,0,12,0,0,6.25,3,0,0,0,0,0,0,0.015,0.067,0,0,0,0.082,0.105,0.471,0,0,0,0.577,1,4,0,0,0,5,0.047,0.189,0,0,0,0.237,0,2,0,0,0,2,0,0.209,0,0,0,0.209,0,1,0,0,0,1,0,0.126,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1064,"Castagneto Po",11.473,0,0.13,0.296,0,1.133,2.58,1791,269,15.02,1198,66.89,324,18.09,0,4,14,0,0.223,0.782,745,0,1,6,0,0.134,0.805,691,0,1,5,0,0.145,0.724,118,0,0,1,0,0,0.847,6,0,0,0,0,0,0,0.213,0,0,0,0,0.213,1.857,0,0,0,0,1.857,38,0,0,0,0,38,2.122,0,0,0,0,2.122,16,0,0,0,0,16,2.148,0,0,0,0,2.148,21,0,0,0,0,21,3.039,0,0,0,0,3.039,2,0,0,0,0,2,1.695,0,0,0,0,1.695,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1066,"Castellamonte",38.706,2.702,3.624,3.625,6.981,9.363,9.365,9917,1330,13.411,6320,63.729,2267,22.86,186,266,266,1.876,2.682,2.682,4305,80,116,116,1.858,2.695,2.695,2878,53,76,76,1.842,2.641,2.641,719,13,19,19,1.808,2.643,2.643,22,0,3,3,0,13.636,13.636,0.303,0.359,0.089,0,0,0.662,0.783,0.928,0.23,0,0,1.71,19,17,46,0,0,36,0.192,0.171,0.464,0,0,0.363,8,7,19,0,0,15,0.186,0.163,0.441,0,0,0.348,5,8,6,0,0,13,0.174,0.278,0.208,0,0,0.452,1,2,2,0,0,3,0.139,0.278,0.278,0,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1084,"Cintano",4.934,0,0,0,0,0,0,261,26,9.962,159,60.92,76,29.119,0,0,0,0,0,0,121,0,0,0,0,0,0,200,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07,0,0,0,0,0.07,1.419,0,0,0,0,1.419,2,0,0,0,0,2,0.766,0,0,0,0,0.766,1,0,0,0,0,1,0.826,0,0,0,0,0.826,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1021,"Barbania",12.803,1.572,1.765,1.765,12.278,13.786,13.786,1623,201,12.384,1017,62.662,405,24.954,22,27,27,1.356,1.664,1.664,758,9,11,11,1.187,1.451,1.451,691,6,8,8,0.868,1.158,1.158,96,2,2,2,2.083,2.083,2.083,2,0,0,0,0,0,0,0.015,0.018,0.004,0,0,0.033,0.117,0.141,0.031,0,0,0.258,2,1,0,0,0,3,0.123,0.062,0,0,0,0.185,1,0,0,0,0,1,0.132,0,0,0,0,0.132,1,0,0,0,0,1,0.145,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1023,"Barone Canavese",3.986,0,0.118,0.118,0,2.96,2.96,599,69,11.519,356,59.432,174,29.048,0,2,2,0,0.334,0.334,266,0,1,1,0,0.376,0.376,303,0,1,1,0,0.33,0.33,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1209,"Quassolo",3.956,0.375,0.749,1.289,9.479,18.933,32.583,359,42,11.699,216,60.167,101,28.134,18,119,254,5.014,33.148,70.752,174,9,58,123,5.172,33.333,70.69,207,11,62,127,5.314,29.952,61.353,28,1,8,21,3.571,28.571,75,1,0,0,0,0,0,0,0.132,0.189,0.04,0,0,0.321,3.337,4.778,1.011,0,0,8.114,14,83,11,0,0,97,3.9,23.12,3.064,0,0,27.019,7,40,5,0,0,47,4.023,22.989,2.874,0,0,27.011,7,40,6,0,0,47,3.382,19.324,2.899,0,0,22.705,1,6,1,0,0,7,3.571,21.429,3.571,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1024,"Beinasco",6.734,0.285,0.596,0.648,4.232,8.851,9.623,18104,2404,13.279,11334,62.605,4366,24.116,135,379,415,0.746,2.093,2.292,7838,58,165,181,0.74,2.105,2.309,1622,16,46,50,0.986,2.836,3.083,1227,19,48,52,1.548,3.912,4.238,3,1,1,1,33.333,33.333,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1026,"Bobbio Pellice",94.082,0.924,2.618,2.772,0.982,2.783,2.946,566,79,13.958,316,55.83,171,30.212,16,189,272,2.827,33.392,48.057,303,9,99,144,2.97,32.673,47.525,631,16,158,219,2.536,25.04,34.707,31,1,12,16,3.226,38.71,51.613,9,3,3,3,33.333,33.333,33.333,3.114,7.747,1.413,0,0,10.861,3.31,8.234,1.502,0,0,11.544,95,20,69,0,0,115,16.784,3.534,12.191,0,0,20.318,51,11,35,0,0,62,16.832,3.63,11.551,0,0,20.462,112,27,43,0,0,139,17.75,4.279,6.815,0,0,22.029,5,2,4,0,0,7,16.129,6.452,12.903,0,0,22.581,0,0,3,0,0,0,0,0,33.333,0,0,0
1,1,1029,"Borgiallo",6.965,0.13,0.13,0.558,1.866,1.866,8.011,550,59,10.727,343,62.364,148,26.909,7,7,127,1.273,1.273,23.091,278,4,4,58,1.439,1.439,20.863,392,5,5,76,1.276,1.276,19.388,24,0,0,5,0,0,20.833,1,0,0,1,0,0,100,0.191,1.262,0.447,0,0,1.453,2.742,18.119,6.418,0,0,20.861,6,6,120,0,0,12,1.091,1.091,21.818,0,0,2.182,3,3,55,0,0,6,1.079,1.079,19.784,0,0,2.158,5,13,72,0,0,18,1.276,3.316,18.367,0,0,4.592,0,1,5,0,0,1,0,4.167,20.833,0,0,4.167,0,0,1,0,0,0,0,0,100,0,0,0
1,1,1186,"Perrero",63.183,0.483,0.572,0.713,0.764,0.905,1.128,723,73,10.097,387,53.527,263,36.376,30,82,199,4.149,11.342,27.524,392,15,43,105,3.827,10.969,26.786,1095,24,53,121,2.192,4.84,11.05,38,1,5,14,2.632,13.158,36.842,17,3,3,8,17.647,17.647,47.059,2.227,19.475,0.081,0,0,21.702,3.525,30.823,0.128,0,0,34.348,3,196,103,0,0,199,0.415,27.109,14.246,0,0,27.524,2,106,55,0,0,108,0.51,27.041,14.031,0,0,27.551,9,357,53,0,0,366,0.822,32.603,4.84,0,0,33.425,0,6,9,0,0,6,0,15.789,23.684,0,0,15.789,0,2,6,0,0,2,0,11.765,35.294,0,0,11.765
1,1,1212,"Ribordone",43.6,0,0,0,0,0,0,67,4,5.97,33,49.254,30,44.776,0,0,0,0,0,0,53,0,0,0,0,0,0,671,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.245,0,0,0,0,0.245,0.562,0,0,0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.149,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
